Timestamp,Date,Measure,TBILL,MPLcashUSDC,MPLcashUSDC-SPL,MPLcashUSDT,bIBTA,bIB01,TBONDS13,TBONDS01,STBT,USYC,RCOIN,OUSG,USDY,FOBXX,WTSYX,tfBill,FLTTX,WTSTX,WTLGX,WTTSX,TIPSX,WTGXX,USTB,BUIDL,TBV,XTBT,mTBILL,bZPR1
1672531200000,2023-01-01,Total Asset Value (Dollar),,,,,,,,,,,368620.00,,,103568479.05,1000000.00,,,,,,,,,,,,,
1672617600000,2023-01-02,Total Asset Value (Dollar),,,,,,,,,,,368620.00,,,103568479.05,1000000.00,,,,,,,,,,,,,
1672704000000,2023-01-03,Total Asset Value (Dollar),,,,,,,,,,,368620.00,,,103602733.03,1000000.00,,,,,,,,,,,,,
1672790400000,2023-01-04,Total Asset Value (Dollar),,,,,,,,,,,368620.00,,,103539217.27,1000000.00,,,,,,,,,,,,,
1672876800000,2023-01-05,Total Asset Value (Dollar),,,,,,,,,,,368620.00,,,103430538.77,1000000.00,,,,,,,,,,,,,
1672963200000,2023-01-06,Total Asset Value (Dollar),,,,,,,,,,,368620.00,,,103465477.81,1000000.00,,,,,,,,,,,,,
1673049600000,2023-01-07,Total Asset Value (Dollar),,,,,,,,,,,368620.00,,,103465477.81,1000000.00,,,,,,,,,,,,,
1673136000000,2023-01-08,Total Asset Value (Dollar),,,,,,,,,,,368620.00,,,103465477.81,1000000.00,,,,,,,,,,,,,
1673222400000,2023-01-09,Total Asset Value (Dollar),,,,,,,,,,,368620.00,,,103461958.26,1000000.00,,,,,,,,,,,,,
1673308800000,2023-01-10,Total Asset Value (Dollar),,,,,,,,,,,368620.00,,,103473630.60,1000000.00,,,,,,,,,,,,,
1673395200000,2023-01-11,Total Asset Value (Dollar),,,,,,,,,,,368620.00,,,103485307.60,1000000.00,,,,,,,,,,,,,
1673481600000,2023-01-12,Total Asset Value (Dollar),,,,,,,,,,,368620.00,,,103696112.19,1000000.00,,,,,,,,,,,,,
