Timestamp,Date,Measure,Maple,TrueFi,Backed Finance,Securitize,Ondo,Arca Labs,Open Eden,Superstate,Swarm,Matrixdock,Wisdomtree Prime,Franklin Templeton Benji Investments,Hashnote,OpenTrade (Perimeter Protocol),Midas
1672531200000,2023-01-01,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103568479.05,,,
1672617600000,2023-01-02,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103568479.05,,,
1672704000000,2023-01-03,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103602733.03,,,
1672790400000,2023-01-04,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103539217.27,,,
1672876800000,2023-01-05,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103430538.77,,,
1672963200000,2023-01-06,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103465477.81,,,
1673049600000,2023-01-07,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103465477.81,,,
1673136000000,2023-01-08,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103465477.81,,,
1673222400000,2023-01-09,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103461958.26,,,
1673308800000,2023-01-10,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103473630.60,,,
1673395200000,2023-01-11,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103485307.60,,,
1673481600000,2023-01-12,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103696112.19,,,
1673568000000,2023-01-13,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103743367.85,,,
1673654400000,2023-01-14,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103743367.85,,,
1673740800000,2023-01-15,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103743367.85,,,
1673827200000,2023-01-16,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103743367.85,,,
1673913600000,2023-01-17,Total Asset Value (Dollar),,,,,,368620.00,,,,,1000000.00,103755615.73,,,
1674000000000,2023-01-18,Total Asset Value (Dollar),,,,,,368620.00,,,,1.00,1000000.00,103767455.60,,,
1674086400000,2023-01-19,Total Asset Value (Dollar),,,,,,367620.00,,,,1.00,1000000.00,103579217.97,,,
1674172800000,2023-01-20,Total Asset Value (Dollar),,,,,,367620.00,,,,1.00,1000000.00,103616553.82,,,
1674259200000,2023-01-21,Total Asset Value (Dollar),,,,,,367620.00,,,,1.00,1000000.00,103616553.82,,,
1674345600000,2023-01-22,Total Asset Value (Dollar),,,,,,367620.00,,,,1.00,1000000.00,103616553.82,,,
1674432000000,2023-01-23,Total Asset Value (Dollar),,,,,,367620.00,,,,1.00,1000000.00,103638558.01,,,
1674518400000,2023-01-24,Total Asset Value (Dollar),,,,,,367620.00,,,,1.00,1000000.00,103638777.41,,,
1674604800000,2023-01-25,Total Asset Value (Dollar),,,,,,367620.00,,,,1.00,1000000.00,103660910.55,,,
1674691200000,2023-01-26,Total Asset Value (Dollar),,,,,148.84,367620.00,,,,1.00,1000000.00,104672746.03,,,
1674777600000,2023-01-27,Total Asset Value (Dollar),,,,,347.32,367620.00,,,,2000001.11,1000000.00,104709014.78,,,
1674864000000,2023-01-28,Total Asset Value (Dollar),,,,,347.32,367620.00,,,,2000001.11,1000000.00,104709014.78,,,
1674950400000,2023-01-29,Total Asset Value (Dollar),,,,,347.32,367620.00,,,,2000001.11,1000000.00,104709014.78,,,
1675036800000,2023-01-30,Total Asset Value (Dollar),,,,,546.00,367620.00,,,,2000001.11,1000000.00,104720980.08,,,
1675123200000,2023-01-31,Total Asset Value (Dollar),,,,,552180.19,367620.00,,,,2000001.11,1000000.00,104732184.80,,,
1675209600000,2023-02-01,Total Asset Value (Dollar),,,,,550477.78,367620.00,,,,1800517.11,1000000.00,104754287.45,,,
1675296000000,2023-02-02,Total Asset Value (Dollar),,,,,550678.07,367620.00,,,,1800517.11,1000000.00,125268695.98,,,
1675382400000,2023-02-03,Total Asset Value (Dollar),,,,,17608890.12,367620.00,,,,1800517.11,1000000.00,125378845.34,,,
1675468800000,2023-02-04,Total Asset Value (Dollar),,,,,17608890.12,367620.00,,,,1600517.00,1000000.00,125378845.34,,,
1675555200000,2023-02-05,Total Asset Value (Dollar),,,,,17608890.12,367620.00,,,,1600517.00,1000000.00,125378845.34,,,
1675641600000,2023-02-06,Total Asset Value (Dollar),,,,,17608890.12,367620.00,,,,1600517.00,1000000.00,125391571.69,,,
1675728000000,2023-02-07,Total Asset Value (Dollar),,,,,27261366.69,367620.00,,,,1750517.00,1000000.00,125406728.65,,,
1675814400000,2023-02-08,Total Asset Value (Dollar),,,,,28641057.00,367620.00,,,,1900517.00,1000000.00,125443176.83,,,
1675900800000,2023-02-09,Total Asset Value (Dollar),,,,,28651472.88,367620.00,,,,1688517.00,1000000.00,125457990.42,,,
1675987200000,2023-02-10,Total Asset Value (Dollar),,,,,34437886.83,367620.00,,,,1688517.00,1000000.00,125505756.21,,,
1676073600000,2023-02-11,Total Asset Value (Dollar),,,,,34437886.83,367620.00,,,,1899517.00,1000000.00,125505756.21,,,
1676160000000,2023-02-12,Total Asset Value (Dollar),,,,,34437886.83,367620.00,,,,1899517.00,1000000.00,125505756.21,,,
1676246400000,2023-02-13,Total Asset Value (Dollar),,,,,40249528.42,367620.00,,,,1899517.00,1000000.00,125530600.62,,,
1676332800000,2023-02-14,Total Asset Value (Dollar),,,,,40249528.42,367620.00,,,,1899517.00,1000000.00,125660324.82,,,
1676419200000,2023-02-15,Total Asset Value (Dollar),,,,,41110907.29,367620.00,,,,1890517.00,1000000.00,125675313.18,,,
1676505600000,2023-02-16,Total Asset Value (Dollar),,,,,41129582.18,367620.00,,,,2390517.00,1000000.00,125702294.12,,,
1676592000000,2023-02-17,Total Asset Value (Dollar),,,,,41306270.12,367620.00,,,,2390517.00,1000000.00,125762047.21,,,
1676678400000,2023-02-18,Total Asset Value (Dollar),,,,,41306270.12,367620.00,,,,3890517.00,1000000.00,125762047.21,,,
1676764800000,2023-02-19,Total Asset Value (Dollar),,,,,41306270.12,367620.00,,,,3890517.00,1000000.00,125762047.21,,,
1676851200000,2023-02-20,Total Asset Value (Dollar),,,,,41306270.12,367620.00,,,,3890517.00,1000000.00,125762047.21,,,
1676937600000,2023-02-21,Total Asset Value (Dollar),,,,,41306270.12,367620.00,,,,3890517.00,1000000.00,175777067.51,,,
1677024000000,2023-02-22,Total Asset Value (Dollar),,,,,41714509.22,367620.00,,,,3890517.00,1000000.00,175797904.89,,,
1677110400000,2023-02-23,Total Asset Value (Dollar),,,,,40636418.64,367620.00,,,,13874728.09,1000000.00,175819129.26,,,
1677196800000,2023-02-24,Total Asset Value (Dollar),,,,,41741367.38,367620.00,,,,13874728.09,1000155.58,175883034.18,,,
1677283200000,2023-02-25,Total Asset Value (Dollar),,,,,41741367.38,367620.00,,,,13874728.09,1000155.58,175883034.18,,,
1677369600000,2023-02-26,Total Asset Value (Dollar),,,,,41741367.38,367620.00,,,,13874728.09,1000155.58,175883034.18,,,
1677456000000,2023-02-27,Total Asset Value (Dollar),,,,,41859040.41,367620.00,,,,13874728.09,1000155.58,225900479.41,,,
1677542400000,2023-02-28,Total Asset Value (Dollar),,,,,43658350.90,367620.00,,,,13974728.09,1000083.30,225921690.03,,,
1677628800000,2023-03-01,Total Asset Value (Dollar),,,,,44649536.38,367620.00,,,,14524728.09,1000083.30,225949142.95,,,
1677715200000,2023-03-02,Total Asset Value (Dollar),,,,,45182256.01,367620.00,,,,14524728.09,1000083.30,225976362.14,,,
1677801600000,2023-03-03,Total Asset Value (Dollar),,,,,50565099.81,367620.00,,,,14524728.09,1000083.30,226060686.68,,,
1677888000000,2023-03-04,Total Asset Value (Dollar),,,,,50565099.81,367620.00,,,,14524728.09,1000083.30,226060686.68,,,
1677974400000,2023-03-05,Total Asset Value (Dollar),,,,,50565099.81,367620.00,,,,14524728.09,1000083.30,226060686.68,,,
1678060800000,2023-03-06,Total Asset Value (Dollar),,,1037750.00,,53533640.51,367620.00,,,,14524728.09,1000083.30,226088083.31,,,
1678147200000,2023-03-07,Total Asset Value (Dollar),,,1035100.00,,53523909.78,367620.00,,,,14644728.09,1000083.30,225090785.42,,,
1678233600000,2023-03-08,Total Asset Value (Dollar),,,1033300.00,,53528775.15,367620.00,,,,15144735.82,1000000.01,225117867.30,,,
1678320000000,2023-03-09,Total Asset Value (Dollar),,,1035750.00,,53557967.35,367620.00,,,,15144735.82,1000000.01,225151106.56,,,
1678406400000,2023-03-10,Total Asset Value (Dollar),,,1038750.00,,52923332.22,367620.00,,,,15695735.82,1000000.01,225242356.23,,,
1678492800000,2023-03-11,Total Asset Value (Dollar),,,1038750.00,,52923332.22,367620.00,,,,20695735.82,1000000.01,225242356.23,,,
1678579200000,2023-03-12,Total Asset Value (Dollar),,,1038750.00,,52923332.22,367620.00,,,,20695735.82,1000000.01,225242356.23,,,
1678665600000,2023-03-13,Total Asset Value (Dollar),,,1046550.00,,53425397.20,367620.00,,,,20695735.82,1000000.01,225268033.56,,,
1678752000000,2023-03-14,Total Asset Value (Dollar),,,1045850.00,,52274571.25,367620.00,,,,20695735.82,1000000.01,265612572.80,,,
1678838400000,2023-03-15,Total Asset Value (Dollar),,,1046050.00,,54390395.23,367620.00,,,,20695735.82,1000000.01,265640362.20,,,
1678924800000,2023-03-16,Total Asset Value (Dollar),,,1045850.00,,56581047.13,367620.00,,,,20595547.59,1000000.01,265672588.28,,,
1679011200000,2023-03-17,Total Asset Value (Dollar),,,1048250.00,,58601267.83,367620.00,,,,27395522.67,1000054.28,265787057.84,,,
1679097600000,2023-03-18,Total Asset Value (Dollar),,,1048250.00,,58601267.83,367620.00,,,,45907648.59,1000054.28,265787057.84,,,
1679184000000,2023-03-19,Total Asset Value (Dollar),,,1048250.00,,58601267.83,367620.00,,,,45907648.59,1000054.28,265787057.84,,,
1679270400000,2023-03-20,Total Asset Value (Dollar),,,1048250.00,,58261445.85,367620.00,,,,45907648.59,1000054.28,275346206.21,,,
1679356800000,2023-03-21,Total Asset Value (Dollar),,,1043600.00,,58355357.59,367620.00,,,,45907648.59,1000054.28,272430934.42,,,
1679443200000,2023-03-22,Total Asset Value (Dollar),,,1044150.00,,59474709.64,367620.00,,,,46207648.59,1000251.71,272474123.08,,,
1679529600000,2023-03-23,Total Asset Value (Dollar),,,1054850.00,,59512430.31,367620.00,,,,46207648.59,1000251.71,272717823.78,,,
1679616000000,2023-03-24,Total Asset Value (Dollar),,,1047750.00,,59518916.90,367620.00,,,,46307652.90,1000251.71,272818875.83,,,
1679702400000,2023-03-25,Total Asset Value (Dollar),,,1047750.00,,59518916.90,367620.00,,,,46408152.90,1000251.71,272818875.83,,,
1679788800000,2023-03-26,Total Asset Value (Dollar),,,1047750.00,,59518916.90,367620.00,,,,46408152.90,1000251.71,272818875.83,,,
1679875200000,2023-03-27,Total Asset Value (Dollar),,,1048800.00,,68872864.83,367620.00,,,,46408152.90,1000251.71,272824595.52,,,
1679961600000,2023-03-28,Total Asset Value (Dollar),,,1049400.00,,69538011.94,367620.00,,,,46408152.90,1000251.71,272855014.19,,,
1680048000000,2023-03-29,Total Asset Value (Dollar),,,1048450.00,,74868116.79,367620.00,,,,46408152.89,1000251.71,272888440.16,,,
1680134400000,2023-03-30,Total Asset Value (Dollar),,,1046850.00,,74881671.26,367620.00,,,,46508675.53,1000241.71,272921541.89,,,
1680220800000,2023-03-31,Total Asset Value (Dollar),,,1047150.00,,74674283.41,367620.00,,,,46508675.53,1000241.71,272954556.71,,,
1680307200000,2023-04-01,Total Asset Value (Dollar),,,1047150.00,,74674283.41,367620.00,,,,55559032.23,1000241.71,272954556.71,,,
1680393600000,2023-04-02,Total Asset Value (Dollar),,,1047150.00,,74674283.41,367620.00,,,,55559042.23,1000241.71,272954556.71,,,
1680480000000,2023-04-03,Total Asset Value (Dollar),,,1045050.00,,74403969.26,367620.00,,,,55559042.23,1000241.71,273058480.79,,,
1680566400000,2023-04-04,Total Asset Value (Dollar),,,1046050.00,,74262219.94,367620.00,,,,55559042.23,1000241.71,273112329.67,,,
